,N Cluster,Total WCSS,Elbow
0,1,782891013.0238838,3914455.0651194192
1,2,65089654.389735684,642801.0914895514
2,3,39336456.73787262,561190.5233420159
3,4,23904953.907457363,472686.29825282836
4,5,16753104.001151742,437484.9906273829
5,6,12920965.175807077,400209.84188469034
6,7,8955639.98858235,361367.06280921295
7,8,7101906.903299999,341090.52933626255
8,9,5484303.231020017,273937.04126012116
9,10,4683832.217657147,288468.16076683626
